,latitude,longitude,Ones
49,-7.5114399999999995,-37.6357,0.6931471805599453
79,-7.0918,-38.1681,0.6931471805599453
87,-7.03943,-35.6206,1.6094379124341003
88,-7.05377,-35.7591,1.0986122886681098
89,-6.9465699999999995,-35.5332,0.6931471805599453
97,-7.736680000000001,-36.0511,0.6931471805599453
115,-6.892919999999999,-36.0129,0.6931471805599453
116,-7.4297699999999995,-34.9057,1.3862943611198906
205,-7.55502,-37.0628,0.6931471805599453
268,-6.784660000000001,-38.0803,0.6931471805599453
292,-6.8437399999999995,-35.3737,1.0986122886681098
340,-6.828130000000001,-35.7552,1.0986122886681098
351,-6.5484800000000005,-35.7498,1.0986122886681098
367,-6.96396,-35.6977,1.6094379124341003
370,-7.11702,-36.9404,0.6931471805599453
371,-7.04789,-35.9313,0.6931471805599453
388,-7.54473,-35.7066,1.0986122886681098
412,-7.072310000000001,-36.725,0.6931471805599453
454,-6.692089999999999,-34.9381,1.3862943611198906
478,-6.74775,-35.6246,1.0986122886681098
496,-6.63484,-36.2601,0.6931471805599453
511,-6.718160000000001,-36.0671,1.0986122886681098
512,-7.518089999999999,-35.9913,0.6931471805599453
515,-7.74603,-36.3209,0.6931471805599453
567,-7.1238,-34.9293,2.4849066497880004
581,-6.742610000000001,-35.5166,1.0986122886681098
584,-6.18515,-37.5348,1.0986122886681098
610,-6.44572,-38.5521,0.6931471805599453
639,-7.40982,-38.2113,0.6931471805599453
643,-7.26365,-36.2357,0.6931471805599453
678,-6.81601,-38.6453,0.6931471805599453
703,-6.4417599999999995,-37.9234,1.0986122886681098
718,-7.31341,-38.5133,1.0986122886681098
720,-7.487,-36.1309,1.3862943611198906
728,-6.801989999999999,-35.6187,0.6931471805599453
771,-6.34185,-37.4943,1.0986122886681098
773,-6.37065,-37.8253,0.6931471805599453
817,-7.513510000000001,-34.9055,1.0986122886681098
820,-7.488989999999999,-36.287,1.0986122886681098
825,-6.987310000000001,-34.8284,2.302585092994046
848,-6.913530000000001,-38.676,0.6931471805599453
858,-7.1212800000000005,-37.1563,0.6931471805599453
859,-6.6386,-35.7778,1.3862943611198906
860,-7.207210000000001,-37.0604,0.6931471805599453
884,-6.62115,-35.4581,1.0986122886681098
895,-6.880039999999999,-38.5577,2.5649493574615367
897,-6.960160000000001,-37.8009,0.6931471805599453
906,-7.1025,-35.3272,1.0986122886681098
917,-7.88503,-36.8242,0.6931471805599453
946,-7.22196,-35.8731,3.9889840465642745
1064,-6.916239999999999,-35.1673,0.6931471805599453
1101,-7.72049,-36.492,0.6931471805599453
1149,-7.03414,-38.3399,1.0986122886681098
1166,-6.779539999999999,-35.8179,0.6931471805599453
1189,-7.120080000000001,-37.6064,0.6931471805599453
1191,-6.3406199999999995,-37.747,2.0794415416798357
