,latitude,longitude,Ones
4138,-6.54269,-35.661,0.6931471805599453
4141,-7.25347,-35.6693,0.6931471805599453
4144,-7.14173,-35.2914,0.6931471805599453
4151,-7.68023,-36.157,0.6931471805599453
4152,-6.44067,-37.6483,0.6931471805599453
4244,-6.8038300000000005,-35.0776,1.9459101490553132
4309,-7.10098,-36.8458,0.6931471805599453
4312,-7.35337,-35.4305,1.6094379124341003
4361,-7.7389,-35.8764,0.6931471805599453
4367,-6.5237,-38.0617,1.0986122886681098
4401,-6.7176,-38.6427,1.0986122886681098
4406,-7.621,-38.554,0.6931471805599453
4422,-6.86092,-36.9178,1.6094379124341003
4452,-7.11724,-34.9753,2.9444389791664403
4480,-7.0796399999999995,-37.4435,0.6931471805599453
4501,-7.54705,-38.3236,0.6931471805599453
4521,-7.38162,-37.9819,1.0986122886681098
4535,-7.220160000000001,-36.6213,0.6931471805599453
4585,-6.885960000000001,-37.7243,0.6931471805599453
4586,-6.48529,-37.4488,1.3862943611198906
4614,-6.80313,-37.9488,0.6931471805599453
4621,-7.6327300000000005,-36.4374,0.6931471805599453
4639,-6.60773,-38.0968,0.6931471805599453
4709,-7.38168,-36.5345,1.0986122886681098
4724,-6.72195,-38.4468,1.9459101490553132
4728,-8.07703,-36.8547,0.6931471805599453
4746,-6.93646,-38.1622,0.6931471805599453
4755,-7.246360000000001,-38.2989,0.6931471805599453
4756,-6.839739999999999,-37.3214,0.6931471805599453
4758,-7.1187,-38.501999999999995,1.6094379124341003
4759,-7.736330000000001,-38.0894,0.6931471805599453
4765,-7.1607,-37.3036,0.6931471805599453
4766,-6.21054,-37.3601,0.6931471805599453
4789,-6.76295,-36.7972,0.6931471805599453
4797,-7.38775,-36.8085,0.6931471805599453
4800,-7.2523800000000005,-35.3725,0.6931471805599453
4820,-6.92386,-37.0954,1.0986122886681098
4836,-7.24764,-35.2016,1.0986122886681098
4893,-7.110339999999999,-35.8678,1.0986122886681098
4905,-8.15289,-37.0138,0.6931471805599453
4922,-6.854260000000001,-36.4122,1.0986122886681098
4926,-7.09359,-35.228,1.9459101490553132
4996,-7.480339999999999,-36.666,1.6094379124341003
4998,-6.68527,-35.4379,1.0986122886681098
5007,-7.209569999999999,-38.3647,0.6931471805599453
5012,-7.18622,-35.6842,0.6931471805599453
5021,-6.815689999999999,-35.6282,1.0986122886681098
5034,-6.75127,-35.4372,1.0986122886681098
5074,-7.14429,-35.2357,0.6931471805599453
5079,-6.75161,-35.6636,1.6094379124341003
5080,-7.0582899999999995,-36.3668,1.0986122886681098
5090,-6.77067,-36.2538,0.6931471805599453
5092,-6.75148,-38.2311,2.8903717578961645
5101,-7.66206,-36.884,0.6931471805599453
5121,-6.48759,-35.6367,1.0986122886681098
5155,-7.206289999999999,-36.8245,1.0986122886681098
5187,-7.62697,-37.8712,1.0986122886681098
5189,-7.2210399999999995,-37.2525,1.0986122886681098
5201,-6.93855,-36.6273,0.6931471805599453
5301,-6.5713,-38.5986,1.0986122886681098
5365,-6.51504,-38.4128,1.6094379124341003
5372,-7.69199,-35.6582,0.6931471805599453
5446,-6.761889999999999,-36.9913,0.6931471805599453
5501,-6.50684,-38.2567,1.0986122886681098
5531,-6.7303,-37.5704,0.6931471805599453
5566,-8.07901,-37.1057,0.6931471805599453
